ID,Term,Aliases / Related labels,Category,Subcategory,Plain-English meaning,Mechanical role,Typical value / unit,Design notes / distinctions,Example systems,Scope,Source keys,Primary source URL,Additional source URLs,Added,Search tags
WG-1013,Full Move Disordered,full move in disorder,Movement,Tempo trade-off,An option to move at full speed while accepting disorder and losing access to more complex formation manoeuvres.,Trades formation integrity for movement tempo,full movement + disorder state,Strong reusable design pattern: speed now in exchange for degraded future capability.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,full move disordered full move in disorder movement tempo trade-off
WG-1014,Good Order,ordered; in good order,Damage & morale,Readiness state,A normal organised state in which a unit retains its full formation and manoeuvre capability.,Provides the baseline against which disorder and broken states are measured,state,Useful canonical opposite to Disordered.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,good order ordered; in good order damage & morale readiness state
WG-1015,Panic,panic result; rout/panic,Damage & morale,Rout result,A severe morale result in which a unit loses formation and retreats away from the enemy.,Produces involuntary retreat and possible losses,result / retreat distance,Represents battlefield collapse rather than voluntary withdrawal.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,panic panic result; rout/panic damage & morale rout result
WG-1016,Change Front,change facing by wheel; front change,Movement,Formation manoeuvre,A manoeuvre that pivots a formed unit substantially to establish a new facing without also advancing.,Changes orientation while preserving a formed footprint,angle / movement allowance,Distinct from ordinary wheeling during forward movement.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,change front change facing by wheel; front change movement formation manoeuvre
WG-1017,Refuse a Flank,refused flank; refuse flank,Movement,Formation manoeuvre,A formation adjustment that bends or angles part of a line to protect an exposed flank.,Improves flank security without a full formation change,formation geometry,Historically useful term for partial formation adjustment.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,refuse a flank refused flank; refuse flank movement formation manoeuvre
WG-1018,Passage of Lines,pass through friendly line,Movement,Interpenetration manoeuvre,A controlled movement in which one formed unit passes through another friendly formation.,Models formation interpenetration with possible restrictions or disorder,movement / formation condition,Useful where friendly-unit passage is more involved than simply moving through models.,Regimental Fire and Fury,Generic concept,RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,passage of lines pass through friendly line movement interpenetration manoeuvre
WG-1019,Prolong,artillery prolong; prolong gun,Movement,Artillery manoeuvre,Short movement of an unlimbered gun without fully limbering it for normal transport.,Allows limited artillery repositioning while remaining deployed,short distance / artillery-only,Distinctive artillery movement mode.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,prolong artillery prolong; prolong gun movement artillery manoeuvre
WG-1020,Hand Haul,manhandle; hand-haul gun,Movement,Artillery manoeuvre,Movement of a gun by its crew rather than by limber or towing team.,Provides very short-range artillery repositioning,short distance,Generic artillery movement concept.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,hand haul manhandle; hand-haul gun movement artillery manoeuvre
WG-1021,Silenced,silenced gun; suppressed battery,Damage & morale,Artillery suppression state,A temporary artillery state representing a gun crew unable or unwilling to fire effectively until rallied.,Suppresses artillery without destroying it,marker / state,Useful non-lethal artillery result distinct from damage.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,silenced silenced gun; suppressed battery damage & morale artillery suppression state
WG-1022,Pass Through Fire,pass-through fire; opportunity fire on movement,Combat & weapons,Movement-triggered fire,Fire resolved against a target because it passed through a vulnerable position during movement.,"Makes the path of movement matter, not just the final position",triggered attack,Useful for representing exposure while crossing fire lanes.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,pass through fire pass-through fire; opportunity fire on movement combat & weapons movement-triggered fire
WG-1023,Galling Fire,galling fire effect,Combat & weapons,Fire-effect result,A lower-tier fire result that becomes more damaging against a target already in disorder.,Makes existing disorder amplify subsequent fire effects,result band,Demonstrates state-dependent damage escalation.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,galling fire galling fire effect combat & weapons fire-effect result
WG-1024,Telling Fire,telling fire effect,Combat & weapons,Fire-effect result,A stronger fire result that causes a definite troop loss or damages artillery.,Provides a middle step in a graded fire-effect ladder,result band / stand loss,Useful named tier between harassment and severe fire.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,telling fire telling fire effect combat & weapons fire-effect result
WG-1025,Withering Fire,withering fire effect,Combat & weapons,Fire-effect result,A severe fire result causing multiple troop losses or destruction of a gun.,Represents high-end firepower outcome,result band / multiple losses,Top tier of a graded fire-effect ladder.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,withering fire withering fire effect combat & weapons fire-effect result
WG-1026,Unit Effectiveness,effectiveness level; unit effectiveness state,Damage & morale,Attrition state,A staged measure of how casualties reduce a unit's battlefield effectiveness over time.,Turns cumulative stand losses into discrete degradation states,state ladder,Separates raw casualties from their effect on unit performance.,Regimental Fire and Fury,Generic design concept,RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,unit effectiveness effectiveness level; unit effectiveness state damage & morale attrition state
WG-1027,Fresh,fresh unit,Damage & morale,Effectiveness state,The initial or relatively intact level on a unit-effectiveness ladder.,Represents a unit before significant attritional degradation,state / threshold,Pairs with Worn and Spent.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,fresh fresh unit damage & morale effectiveness state
WG-1028,Worn,worn unit,Damage & morale,Effectiveness state,An intermediate attritional state reached after sufficient losses.,Applies degradation before the unit becomes fully spent,state / casualty threshold,Useful middle step in a three-state effectiveness track.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,worn worn unit damage & morale effectiveness state
WG-1029,Spent,spent unit,Damage & morale,Effectiveness state,A heavily degraded effectiveness state reached after substantial losses.,Represents a unit that remains on table but has little staying power,state / casualty threshold,Distinct from destroyed or routed.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,spent spent unit damage & morale effectiveness state
WG-1030,Spirited,high morale; spirited morale,Damage & morale,Morale grade,A high morale grade used when determining how quickly casualties degrade unit effectiveness.,Improves staying power under attrition,grade / threshold modifier,Separates morale quality from immediate morale-test results.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,spirited high morale; spirited morale damage & morale morale grade
WG-1031,Unreliable,low morale; unreliable morale,Damage & morale,Morale grade,A low morale grade representing troops with reduced staying power.,Accelerates degradation under casualties,grade / threshold,Useful quality grade without making the unit automatically broken.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,unreliable low morale; unreliable morale damage & morale morale grade
WG-1032,Dispirited,very low morale; dispirited morale,Damage & morale,Morale grade,"The lowest morale grade, representing troops that lose effectiveness rapidly under casualties.",Creates very low staying power,grade / threshold,Distinct from a temporary Shaken state: this is an inherent morale quality.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,dispirited very low morale; dispirited morale damage & morale morale grade
WG-1033,Breakthrough Charge,breakthrough; follow-on charge,Combat & weapons,Exploitation attack,A follow-on charge generated by success in a previous close combat.,Converts local combat success into immediate exploitation,half/full move + new charge,Reusable success-to-tempo mechanic.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,breakthrough charge breakthrough; follow-on charge combat & weapons exploitation attack
WG-1034,Support a Charge,charge support; supporting unit,Combat & weapons,Support action,An action in which a nearby friendly unit follows or contributes to another unit's charge without being the primary charger.,Lets formations combine effort in close combat,support relationship / movement,Distinct from generic support fire.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,support a charge charge support; supporting unit combat & weapons support action
WG-1035,Cold Steel,charge with cold steel; bayonet charge,Combat & weapons,Assault mode,An assault mode emphasising close combat rather than fire during the charge.,Trades or modifies shooting for stronger close-assault behaviour,assault option / modifier,Historically flavoured name for a melee-focused charge.,Regimental Fire and Fury,"System-specific label, generic concept",RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,cold steel charge with cold steel; bayonet charge combat & weapons assault mode
WG-1036,Enfiladed,enfilade target; enfiladed gun,Targeting & visibility,Target geometry state,A target state in which fire attacks along the length or vulnerable axis of a formation or gun position.,Rewards advantageous firing geometry,state / fire modifier,Generic positional concept for line formations and artillery.,Regimental Fire and Fury,Generic concept,RFF-QRS21,https://www.fireandfury.com/rffsupport/RFFACWV2/V2.1RuleChangesandAdditions.pdf,,2026-09-23,enfiladed enfilade target; enfiladed gun targeting & visibility target geometry state
WG-1037,Mission Profile,mission; sortie profile,Scenario,Per-activation objective,"An objective package selected when an aircraft squad activates, defining what kind of target generates victory credit that round.",Makes scoring intent an activation-time choice,profile / VP condition,"Useful when the same unit can switch between interception, ground attack and infrastructure attack roles.",Flightwing Commander,"System-specific label, generic concept",FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,mission profile mission; sortie profile scenario per-activation objective
WG-1038,Air Target,air-target profile,Scenario,Mission profile,A mission profile rewarding destruction of enemy aircraft or aircraft squads.,Frames air-superiority kills as the squad's current scoring task,profile / VP,Designer-facing distinction between target type and weapon eligibility.,Flightwing Commander,"System-specific label, generic concept",FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,air target air-target profile scenario mission profile
WG-1039,Soft Target,soft-target profile,Scenario,Mission profile,A mission profile rewarding attacks against vulnerable ground assets rather than aircraft or hardened structures.,Creates a dedicated ground-attack scoring role,profile / VP,"Here 'soft' is a mission category, not merely an armour keyword.",Flightwing Commander,"System-specific label, generic concept",FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,soft target soft-target profile scenario mission profile
WG-1040,Hard Target,hard-target profile,Scenario,Mission profile,A mission profile rewarding destruction of hardened scenery or infrastructure.,Creates a specialised strike objective for tough fixed targets,profile / VP,Useful for differentiating bombers from air-superiority aircraft through objectives rather than unit classes alone.,Flightwing Commander,"System-specific label, generic concept",FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,hard target hard-target profile scenario mission profile
WG-1041,Flight Level,altitude level; altitude band,Movement,Altitude state,A discrete altitude band used to abstract three-dimensional aircraft position on a two-dimensional table.,"Controls visibility, targeting, entry and manoeuvre risk",level / state,Generic altitude-band architecture rather than continuous vertical measurement.,Flightwing Commander,Generic design concept,FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,flight level altitude level; altitude band movement altitude state
WG-1042,High Level,high altitude; off-table altitude,Movement,Altitude state,An altitude state above the represented battlefield where aircraft are temporarily removed from the table and cannot normally attack or be attacked.,Provides safe transit and a staging state for entering battle,state / off-table position,A useful abstraction for altitude that is operationally present but tactically out of engagement.,Flightwing Commander,"System-specific label, generic concept",FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,high level high altitude; off-table altitude movement altitude state
WG-1043,Dogfight Level,combat altitude; dogfight altitude,Movement,Altitude state,The standard air-combat altitude band in which aircraft engage one another without ground scenery blocking their mutual sight.,Defines the normal air-to-air engagement layer,state / altitude band,Pairs with Low Level and High Level in a three-band altitude model.,Flightwing Commander,"System-specific label, generic concept",FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,dogfight level combat altitude; dogfight altitude movement altitude state
WG-1044,Low Level,low altitude; terrain-level flight,Movement,Altitude state,A terrain-level flight band that improves access to ground targets but exposes aircraft to manoeuvre hazards and scenery.,Trades protection or attack access against collision and manoeuvre risk,state / altitude band,Useful risk-reward altitude state for strike aircraft.,Flightwing Commander,Generic concept,FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,low level low altitude; terrain-level flight movement altitude state
WG-1045,Dangerous Maneuver Test,dangerous manoeuvre test; flight hazard test,Resolution & tests,Hazard test,"A test made when an aircraft attempts especially risky flight, with outcomes ranging from safe execution to damage or destruction.",Prices aggressive manoeuvring with non-combat risk,die test / Evasion comparison,A reusable pattern for voluntarily taking movement risk in exchange for positional advantage.,Flightwing Commander,"System-specific label, generic concept",FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,dangerous maneuver test dangerous manoeuvre test; flight hazard test resolution & tests hazard test
WG-1046,Special Maneuver,special manoeuvre; aerobatic manoeuvre,Movement,Advanced manoeuvre,"A non-standard aircraft manoeuvre that changes facing, position or combat capability beyond ordinary forward flight.",Expands movement options while consuming manoeuvre capacity and sometimes requiring a hazard test,manoeuvre / count,Umbrella category for high-risk tactical flight options.,Flightwing Commander,Generic design concept,FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,special maneuver special manoeuvre; aerobatic manoeuvre movement advanced manoeuvre
WG-1047,Breakneck Turn,180-degree turn; hard reversal,Movement,Special manoeuvre,"A high-risk reversal allowing an aircraft to turn through a much larger angle than an ordinary turn, usually with a temporary attack penalty.",Trades flight stability or accuracy for rapid facing reversal,angle / hazard test / temporary modifier,Good name for a manoeuvre that breaks normal turning geometry.,Flightwing Commander,"System-specific label, generic concept",FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,breakneck turn 180-degree turn; hard reversal movement special manoeuvre
WG-1048,Loop Over,loop; reversal loop,Movement,Special manoeuvre,A risky manoeuvre that repositions an aircraft behind its current location while preserving or manipulating facing.,Lets a pursued aircraft alter relative position without a conventional forward turn,distance / hazard test,Represents vertical manoeuvre abstracted into two-dimensional repositioning.,Flightwing Commander,"System-specific label, generic concept",FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,loop over loop; reversal loop movement special manoeuvre
WG-1049,Dive Bomb,dive-bomb manoeuvre,Combat & weapons,Attack manoeuvre,A risky attack manoeuvre that improves an aircraft's strike against ground or hardened targets while exposing it to defensive fire.,Trades safety for high-confidence ground-attack effect,hazard test / attack bonus / AA exposure,"A strong example of combining movement state, attack quality and reaction fire in one choice.",Flightwing Commander,Generic concept,FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,dive bomb dive-bomb manoeuvre combat & weapons attack manoeuvre
WG-1050,Evasive Maneuvers,evasive manoeuvres; defensive flying,Movement,Defensive manoeuvre,A risky defensive manoeuvre that improves an aircraft's chance of avoiding damage while reducing its own attack accuracy.,Trades offence for survivability,save bonus / accuracy penalty,Distinct from the existing generic Evasion response: this is a chosen temporary flight posture.,Flightwing Commander,Generic concept,FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,evasive maneuvers evasive manoeuvres; defensive flying movement defensive manoeuvre
WG-1051,Minimum Move,minimum movement; compulsory minimum speed,Movement,Movement constraint,The least distance an aircraft must travel during its movement action.,Models momentum and prevents aircraft from hovering in place,distance,Pairs with Maximum Move to create a movement interval rather than a single speed.,Flightwing Commander,Generic design concept,FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,minimum move minimum movement; compulsory minimum speed movement movement constraint
WG-1052,Maximum Move,maximum movement; maximum speed distance,Movement,Movement constraint,The greatest distance an aircraft may travel during its movement action.,Caps displacement while still allowing variable speed above the minimum,distance,Useful with Minimum Move for aircraft and other momentum-driven units.,Flightwing Commander,Generic design concept,FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,maximum move maximum movement; maximum speed distance movement movement constraint
WG-1053,Ground Asset,ground target asset,Organization,Abstract ground unit,A simplified ground target representing vehicles or other battlefield assets primarily for interaction with aircraft.,Lets an air-combat game include ground targets without importing a full ground-combat ruleset,unit / simplified profile,Useful cross-scale abstraction when one domain is secondary to the game's main focus.,Flightwing Commander,"System-specific label, generic concept",FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,ground asset ground target asset organization abstract ground unit
WG-1054,AA Entry Fire,entry AA; board-edge AA fire,Combat & weapons,Entry hazard,Abstract anti-aircraft fire suffered when aircraft enter the battlefield from less secure board edges.,Makes deployment direction a risk decision,one or more AA attacks,Converts strategic approach direction into immediate tactical danger.,Flightwing Commander,Generic design concept,FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,aa entry fire entry aa; board-edge aa fire combat & weapons entry hazard
WG-1055,Neutral Board Edge,neutral edge,Scenario,Deployment edge,A battlefield edge that belongs to neither player and may impose an intermediate level of entry risk.,Creates graded deployment geography between friendly and enemy edges,edge classification,"Useful for air, naval and reinforcement-entry scenarios.",Flightwing Commander,Generic design concept,FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,neutral board edge neutral edge scenario deployment edge
WG-1056,Enemy Board Edge,hostile edge; enemy table edge,Scenario,Deployment edge,"A battlefield edge controlled by an opponent, making entry through it more dangerous than through friendly or neutral edges.",Prices aggressive or encircling entry routes,edge classification / entry hazard,Generic spatial-control concept for reserves and off-table entry.,Flightwing Commander,Generic design concept,FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,enemy board edge hostile edge; enemy table edge scenario deployment edge
WG-1057,Passive Save,passive defence save; passive protection,Damage & morale,Defence roll,A defensive roll that can cancel incoming damage after an attack has successfully penetrated or inflicted harm.,Adds a post-damage defensive layer independent of ordinary armour,target number / save,"Useful for shields, countermeasures, agility or other abstract protection.",Flightwing Commander / Dropzone Commander,Generic concept,FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,passive save passive defence save; passive protection damage & morale defence roll
WG-1058,Critical Damage,critical hit damage; critical,Damage & morale,Enhanced damage result,An attack result that inflicts more damage than an ordinary successful penetration because the damage roll exceeds the target's protection by a sufficient margin.,Rewards high-quality penetration with stepped damage,extra damage / threshold,A margin-of-success damage mechanic rather than a separate critical-hit table.,Flightwing Commander,Generic design concept,FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,critical damage critical hit damage; critical damage & morale enhanced damage result
WG-1059,Ace Pilot,ace upgrade; pilot ace,Deployment & army building,One-use upgrade,A purchased pilot upgrade that can turn a dangerous manoeuvre result into a highly favourable result once per game.,Lets list-building resources buy insurance against movement risk,points / one use,Interesting because the upgrade modifies manoeuvre reliability rather than raw combat statistics.,Flightwing Commander,"System-specific label, generic concept",FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,ace pilot ace upgrade; pilot ace deployment & army building one-use upgrade
WG-1060,Close Call,close-call upgrade; emergency reroll,Resolution & tests,One-use reroll,A purchased one-use effect allowing a selected die to be rerolled immediately after a roll.,Converts army-building points into a small reserve of probability control,points / one use,A compact generic name for purchasable luck or emergency correction.,Flightwing Commander,"System-specific label, generic concept",FWC-OFFICIAL,https://cdn.shopify.com/s/files/1/0965/1274/files/Flightwing_Commander_Rules.pdf?v=1608124024,,2026-09-23,close call close-call upgrade; emergency reroll resolution & tests one-use reroll
WG-1061,Noise,noise level; noise meter,Scenario,Escalation resource,"A cumulative measure increased by conspicuous actions, representing how much attention the force is attracting.",Turns player activity into escalating environmental pressure,track / meter,Useful for stealth missions where firing and other loud actions worsen later conditions.,Dropzone Commander: Operation Artemis,"System-specific label, generic concept",DZC-ARTEMIS-26,https://ttcombat.com/collections/just-in/products/dropzone-commander-operation-artemis,,2026-09-23,noise noise level; noise meter scenario escalation resource
WG-1062,Threat Level,threat; threat meter,Scenario,Escalation state,An escalating state driven by accumulated noise that increases the aggression or danger posed by non-player fauna.,Converts player-generated disturbance into stronger hostile-system behaviour,level / track,"Separates the cause of escalation, Noise, from its gameplay consequence, Threat.",Dropzone Commander: Operation Artemis,"System-specific label, generic concept",DZC-ARTEMIS-26,https://ttcombat.com/collections/just-in/products/dropzone-commander-operation-artemis,,2026-09-23,threat level threat; threat meter scenario escalation state
WG-1063,Non-Player Fauna,fauna; NPC fauna,Organization,Neutral hostile unit,Non-player creatures that act as battlefield entities independently of the competing player forces.,Adds an autonomous third-party threat or environmental actor,unit / behaviour rules,"Useful for wildlife, civilians, hazards, monsters and other scenario-controlled actors.",Dropzone Commander,Generic design concept,DZC-ARTEMIS-26,https://ttcombat.com/collections/just-in/products/dropzone-commander-operation-artemis,,2026-09-23,non-player fauna fauna; npc fauna organization neutral hostile unit
WG-1064,Initiative Bid,round bid; initiative-point bid,Turn structure,Hidden bid,A secret or simultaneous spend from an initiative pool used to determine who acts first in the next activation exchange.,Turns initiative into a spendable tempo decision rather than a fixed die roll,0-N points / hidden bid,Useful where acting first now reduces command flexibility later.,Blood & Valor,"System-specific label, generic concept",BVAL-QRS,https://ik.imagekit.io/firelockgames/DLC/BV-Player-Aid-References_VL_FmbQoC.pdf,,2026-09-23,initiative bid round bid; initiative-point bid turn structure hidden bid
WG-1065,Initiative Pool,initiative points; bidding pool,Command & control,Tempo resource,A pool of points available for initiative bidding across a turn or round.,Creates a finite economy for controlling activation priority,points / pool,Distinct from Command Points when its primary purpose is bidding for sequence priority.,Blood & Valor,Generic design concept,BVAL-QRS,https://ik.imagekit.io/firelockgames/DLC/BV-Player-Aid-References_VL_FmbQoC.pdf,,2026-09-23,initiative pool initiative points; bidding pool command & control tempo resource
WG-1066,Zero Bid,bid zero; no-bid activation,Turn structure,Bid consequence,"Choosing to spend no initiative points, usually accepting a penalty to the activated unit in exchange for conserving the pool.",Creates an explicit conserve-tempo trade-off,0 points / action penalty,Useful when 'doing less now' preserves initiative resources for later.,Blood & Valor,"System-specific label, generic concept",BVAL-QRS,https://ik.imagekit.io/firelockgames/DLC/BV-Player-Aid-References_VL_FmbQoC.pdf,,2026-09-23,zero bid bid zero; no-bid activation turn structure bid consequence
WG-1067,Barrage Mishap,mishap; fire-support mishap,Combat & weapons,Support-fire hazard,A pre-resolution failure check representing artillery or naval fire support going wrong before the barrage is placed.,Adds uncertainty and risk to off-table support,die test / mishap threshold,Separates calling fire support from successfully delivering it.,Blood & Valor,Generic design concept,BVAL-QRS,https://ik.imagekit.io/firelockgames/DLC/BV-Player-Aid-References_VL_FmbQoC.pdf,,2026-09-23,barrage mishap mishap; fire-support mishap combat & weapons support-fire hazard
WG-1068,Gas Barrage,gas zone; chemical barrage,Combat & weapons,Persistent area attack,A barrage that creates a hazardous area affecting units around the selected target and allowing some nearby units to withdraw before resolution.,Creates area denial and forced displacement rather than only immediate damage,template / radius / zone,Useful design pattern for persistent or avoidable artillery effects.,Blood & Valor,"System-specific label, generic concept",BVAL-QRS,https://ik.imagekit.io/firelockgames/DLC/BV-Player-Aid-References_VL_FmbQoC.pdf,,2026-09-23,gas barrage gas zone; chemical barrage combat & weapons persistent area attack
WG-1069,Hung on Wire,wire-hung; caught on wire,Engineering & breaching,Obstacle state,A temporary state applied when a unit fails to cross barbed wire and must halt at the obstacle.,Turns failed obstacle crossing into a persistent positional problem,token / state,More informative than simply declaring the movement failed because later actions can address the state.,Blood & Valor,"System-specific label, generic concept",BVAL-QRS,https://ik.imagekit.io/firelockgames/DLC/BV-Player-Aid-References_VL_FmbQoC.pdf,,2026-09-23,hung on wire wire-hung; caught on wire engineering & breaching obstacle state
WG-1070,Wire Crossing Test,Hung on Wire Test; barbed-wire test,Engineering & breaching,Obstacle test,A test made when crossing barbed wire to determine whether the unit passes through or becomes caught and halted.,Resolves breaching friction at a linear obstacle,die test / target number,"Useful generic mechanic for wire, hedges, rubble belts and similar obstacles.",Blood & Valor,"System-specific label, generic concept",BVAL-QRS,https://ik.imagekit.io/firelockgames/DLC/BV-Player-Aid-References_VL_FmbQoC.pdf,,2026-09-23,wire crossing test hung on wire test; barbed-wire test engineering & breaching obstacle test
WG-1071,Free Rally Action,free rally; zero-action rally,Damage & morale,Recovery exception,A recovery action available even when the unit has no normal actions remaining.,Prevents action-loss states from making recovery mathematically impossible,free action / recovery test,A useful safety valve in suppression and fatigue systems.,Blood & Valor,Generic design concept,BVAL-QRS,https://ik.imagekit.io/firelockgames/DLC/BV-Player-Aid-References_VL_FmbQoC.pdf,,2026-09-23,free rally action free rally; zero-action rally damage & morale recovery exception
WG-1072,Status Effect,temporary status; action status,Turn structure,Temporary state,A temporary modifier created by an action and retained until a defined clearing trigger such as the unit's next activation.,Provides a common lifecycle for short-duration effects,state / expiry trigger,Designer-facing umbrella for effects such as running exposure or taking cover.,Blood & Valor,Generic design concept,BVAL-QRS,https://ik.imagekit.io/firelockgames/DLC/BV-Player-Aid-References_VL_FmbQoC.pdf,,2026-09-23,status effect temporary status; action status turn structure temporary state
